State	County	UFO Sightings	Median Household Income (USD)	Percent In Poverty	Population
WV	Pleasants	4	40,416	15.1	7605
WV	Raleigh	44	37,915	18	78859
WV	Morgan	3	40,636	13.5	17541
WV	Clay	0	31,232	26	9386
WV	Ohio	79	38,997	16.6	44443
WV	Monongalia	234	42,247	22.2	96189
WV	Upshur	3	35,893	21.9	24254
WV	Mineral	3	38,629	16.7	28212
WV	Taylor	15	36,846	20.3	16895
WV	Lewis	1	34,734	19.2	16372
WV	Marshall	17	37,206	17	33107
WV	Mingo	3	31,915	23.7	26839
WV	Cabell	192	36,274	23.3	96319
WV	Tyler	3	36,122	16.2	9208
WV	Hardy	0	37,002	16.3	14025
WV	Logan	5	33,202	22.3	36743
WV	Wood	56	39,456	15.5	86956
WV	Marion	16	38,856	16.8	56418
WV	Harrison	19	40,441	17.3	69099
WV	Kanawha	69	43,110	14.8	193063
WV	Mercer	11	32,366	21.6	62264
WV	Mason	6	36,279	18.4	27324
WV	Preston	5	42,529	15.8	33520
WV	Monroe	0	34,637	17.9	13502
HI	Maui	61	56,206	11.9	154834
HI	Kalawao	0	.	.	90
HI	Kauai	5	52,714	12.1	67091
HI	Honolulu	1608	67,519	9.5	953207
FL	Alachua	826	40,656	25.3	247336
FL	Pasco	514	42,184	15.2	464697
FL	Jackson	6	37,351	19	49746
FL	Santa Rosa	342	51,208	12.6	151372
FL	Gulf	3	39,403	21.1	15863
FL	Union	1	40,523	24.3	15535
FL	Volusia	652	41,368	16.5	494593
FL	Duval	4885	46,112	16.6	864263
FL	Sumter	8	45,165	13	93420
FL	Lake	175	42,343	13.5	297052
FL	Liberty	0	37,815	22.9	8365
FL	Hillsborough	5257	46,043	16.7	1229226
FL	Flagler	263	45,685	15.5	95696
FL	Okaloosa	439	51,173	12.4	180822
FL	Miami-Dade	15985	40,145	20.3	2496435
FL	Seminole	359	57,381	11	422718
FL	Orange	13470	45,105	16.4	1145956
FL	Indian River	154	47,525	14.4	138028
FL	Levy	16	32,197	27	40801
FL	Hardee	4	33,732	30.3	27731
FL	Columbia	13	34,870	19.5	67531
FL	Lee	1054	44,377	17.1	618754
FL	Sarasota	2713	46,047	13.1	379448
