State	County	UFO Sightings	Median Household Income (USD)	Percent In Poverty	Population
LA	Evangeline	0	31,736	22.9	33984
LA	Lafayette	94	48,295	17.8	221578
LA	Franklin	1	30,105	27.4	20767
NC	Wilson	70	36,645	22.9	81234
NC	Currituck	9	53,939	11.1	23547
NC	Union	47	64,486	9.2	201292
NC	Bladen	5	31,637	22.3	35190
NC	Montgomery	7	34,608	24.6	27798
NC	Wayne	16	40,274	19.7	122623
NC	Robeson	14	30,627	31.5	134168
NC	Brunswick	443	44,186	16.5	107431
NC	Henderson	117	43,589	15.8	106740
NC	Hertford	0	32,410	26.1	24669
NC	Anson	49	32,268	22.6	26948
NC	Catawba	116	41,782	14.5	154358
NC	Yadkin	7	41,095	15.1	38406
NC	Stokes	14	43,178	14.3	47401
NC	Pasquotank	16	39,381	22.9	40661
NC	Hoke	16	43,679	19	46952
NC	Wilkes	32	34,886	19.9	69340
NC	Alamance	54	41,519	18.5	151131
NC	Moore	14	47,705	16.6	88247
NC	Washington	2	33,293	22.4	13228
NC	Duplin	63	34,672	23.7	58505
NC	Cabarrus	102	49,355	12.5	178011
NC	Camden	4	59,522	9.7	9980
NC	New Hanover	932	46,129	18.1	202667
NC	Polk	6	44,756	14.4	20510
NC	Warren	6	32,574	27.1	20972
NC	Watauga	32	38,923	24.8	51079
NC	Jackson	5	36,741	19.3	40271
NC	Transylvania	5	40,652	15.9	33090
NC	Caldwell	12	36,860	18.4	83029
NC	Onslow	166	41,969	15.8	177772
NC	Granville	3	45,828	15.5	59916
NC	Orange	58	51,434	17.4	133801
NC	Burke	61	38,541	18.7	90912
NC	Lee	22	41,999	18.6	57866
NC	Avery	9	35,568	23.5	17797
NC	Buncombe	473	42,846	17.1	238318
NC	Guilford	768	42,415	17.9	488406
NC	Durham	278	48,023	18.4	267587
NC	Wake	1865	61,594	12	900993
NC	Chatham	16	53,958	14.2	63505
NC	Beaufort	13	38,194	20.7	47759
NC	Vance	1	34,000	24.3	45422
NC	Rutherford	72	35,057	25	67810
NC	Harnett	21	40,956	16.7	114678
NC	Davie	13	46,957	14	41240
NC	Greene	0	38,428	23.7	21362
NC	Pender	23	43,573	16.7	52217
NC	Forsyth	68	44,443	16.7	350670
NC	Clay	1	35,314	18.8	10587
NC	Macon	22	36,229	19.3	33922
NC	Chowan	0	36,176	21.1	14793
NC	Madison	63	36,158	19.7	20764
NC	Gaston	214	40,332	19.9	206086
NC	Northampton	1	32,168	22.5	22099
NC	North Carolina	0	43,417	17.4	9535483
NC	Swain	0	36,109	18.5	13981
NC	Hyde	2	35,206	21.9	5810
NC	Stanly	6	42,854	15.4	60585
NC	Graham	0	31,863	22.5	8861
NC	Lenoir	4	36,455	23.2	59495
NC	Cherokee	9	32,963	18.1	27444
NC	Scotland	5	31,805	27.2	36157
NC	Richmond	2	31,568	28.1	46639
NC	Davidson	48	40,618	17.3	162878
NC	Columbus	7	32,518	26.9	58098
NC	Mecklenburg	6636	52,363	15.6	919628
NC	Bertie	3	30,586	27	21282
NC	Alexander	4	40,441	16.9	37198
NC	Lincoln	19	45,332	15	78265
NC	Sampson	56	37,047	21.4	63431
NC	Edgecombe	9	33,146	24.5	56552
NC	Ashe	5	31,965	20	27281
NC	Craven	75	41,791	17.5	103505
NC	Iredell	76	46,576	13.3	159437
NC	Franklin	21	45,592	16	60619
NC	Carteret	98	43,356	14.1	66469
NC	Johnston	74	46,922	16.1	168878
NC	Nash	132	42,315	15.6	95840
NC	Tyrrell	0	31,732	28.7	4407
NC	Caswell	1	37,115	20.8	23719
NC	Cleveland	37	38,392	20.9	98078
NC	Halifax	9	30,861	26.2	54691
NC	Cumberland	269	43,356	18.2	319431
NC	Rockingham	17	38,063	18.5	93643
NC	Rowan	119	38,658	20.1	138428
NC	Alleghany	0	32,210	23	11155
NC	McDowell	17	34,383	19.9	44996
NC	Haywood	4	39,987	14.6	59036
NC	Pamlico	5	41,442	15.2	13144
NC	Dare	148	50,203	12.3	33920
NC	Jones	8	38,578	18.4	10153
NC	Pitt	55	39,519	21.6	168148
NC	Martin	2	34,814	23.4	24505
NC	Mitchell	19	35,032	18.5	15579
NC	Gates	4	43,010	17.5	12197
NC	Person	56	42,621	16.4	39464
NC	Yancey	102	36,934	20.3	17818
NC	Surry	29	36,622	19.3	73673
NC	Perquimans	3	40,772	16.4	13453
NC	Randolph	32	39,648	18.1	141752
ND	Ransom	0	48,302	9.5	5457
ND	Stutsman	1	46,466	12	21100
ND	Richland	4	48,821	11.4	16321
ND	Hettinger	0	42,943	12.1	2477
ND	Barnes	0	45,884	11.5	11066
ND	Kidder	1	34,978	16.7	2435
ND	Sheridan	0	35,771	17.4	1321
ND	Stark	5	49,736	10.6	24199
ND	Sargent	0	49,830	8.7	3829
ND	Eddy	0	39,557	12.2	2385
ND	Foster	0	46,599	8.8	3343
ND	Pembina	0	48,378	9.9	7413
ND	McKenzie	0	51,641	13.2	6360
ND	McHenry	0	40,157	12.6	5395
ND	Williams	14	56,689	8.6	22398
ND	Golden Valley	0	38,425	13.2	1680
ND	Sioux	1	28,338	41.3	4153
ND	Dunn	1	49,682	12.3	3536
ND	Burleigh	45	55,565	9.3	81308
ND	McLean	6	52,457	10.5	8962
ND	Grant	0	33,842	18.7	2394
ND	Wells	0	42,540	12.4	4207
ND	Mountrail	0	49,694	13.6	7673
ND	Ramsey	4	44,795	13.7	11451
ND	Burke	0	49,575	9.9	1968
ND	Billings	0	50,921	12	783
ND	Ward	55	46,952	12.6	61675
ND	Benson	1	32,884	34.9	6660
ND	Pierce	0	38,030	13.2	4357
ND	North Dakota	0	48,878	12.5	672591
ND	Bowman	0	49,656	8.1	3151
ND	Rolette	3	31,725	27.9	13937
ND	Griggs	0	42,126	9.9	2420
ND	Nelson	0	41,291	10.2	3126
ND	Cass	69	50,932	12	149778
ND	Cavalier	1	47,456	9.7	3993
ND	Towner	0	47,502	10.6	2246
ND	McIntosh	0	34,285	15.2	2809
ND	Divide	0	48,992	10.5	2071
ND	Slope	0	47,210	12.5	727
ND	Renville	0	56,123	8.3	2470
ND	Dickey	0	42,517	11.9	5289
ND	Mercer	1	63,921	8.2	8424
ND	LaMoure	0	50,019	10.5	4139
ND	Steele	1	52,558	7.2	1975
ND	Logan	3	38,380	14.4	1990
ND	Walsh	0	46,938	11.3	11119
ND	Bottineau	0	48,504	11.8	6429
ND	Traill	1	50,061	8.7	8121
ND	Adams	0	40,082	10.4	2343
ND	Emmons	2	36,823	16	3550
ND	Morton	5	49,798	10.6	27471
ND	Oliver	0	55,742	11.7	1846
ND	Grand Forks	28	45,258	15.8	66861
NE	Colfax	0	45,039	10.9	10515
NE	Sherman	0	37,852	12.9	3152
NE	Furnas	0	39,234	13.4	4959
NE	Frontier	1	40,359	14.1	2756
NE	Banner	0	37,151	13.2	690
NE	Otoe	7	48,980	10.6	15740
NE	Wayne	3	43,061	14.2	9595
NE	Dixon	1	43,505	9.7	6000
NE	Hooker	1	34,687	9.7	736
NE	Dodge	1	41,435	12.7	36691
NE	Brown	11	34,659	13.9	3145
NE	Stanton	1	50,352	8.9	6129
NE	Sarpy	75	69,501	5.8	158840
NE	Kearney	1	53,293	9	6489
NE	Burt	1	44,360	12.1	6858
NE	York	2	46,247	9.8	13665
NE	Grant	0	40,151	12.1	614
NE	Hitchcock	1	36,329	15.2	2908
NE	Loup	0	34,805	17.3	632
NE	Morrill	0	40,465	15.6	5042
NE	Box Butte	1	47,640	13.1	11308
NE	Webster	0	37,647	12	3812
NE	Seward	10	55,507	7.8	16750
NE	Kimball	0	40,455	13	3821
NE	Thomas	0	35,901	15.7	647
NE	Saunders	4	55,070	8.4	20780
NE	Dawes	1	36,333	17.6	9182
NE	Washington	3	65,554	6.6	20234
NE	Dakota	1	43,351	13.2	21006
NE	Polk	1	48,665	8.6	5406
NE	Chase	0	43,271	11.7	3966
NE	Deuel	0	40,325	12.7	1941
NE	Howard	0	45,091	10.5	6274
NE	Sheridan	0	36,228	17.2	5469
NE	Jefferson	0	41,131	12.6	7547
NE	Cheyenne	1	49,417	10.7	9998
NE	Butler	0	47,490	9.1	8395
NE	McPherson	0	33,950	18.9	539
NE	Boyd	1	34,564	13.9	2099
NE	Holt	1	44,835	13.7	10435
NE	Hamilton	1	55,535	8.5	9124
NE	Cuming	3	45,234	10.3	9139
NE	Keith	11	41,493	12	8368
NE	Sioux	0	40,362	16.8	1311
NE	Johnson	1	42,038	12.3	5217
NE	Arthur	1	34,804	11.9	460
NE	Clay	1	46,199	11	6542
NE	Buffalo	21	45,307	12.4	46102
NE	Madison	0	43,491	13.1	34876
NE	Custer	1	39,801	14	10939
NE	Red Willow	3	40,830	13.3	11055
NE	Blaine	0	31,119	20.3	478
NE	Dawson	0	43,899	11.7	24326
NE	Saline	0	43,489	10.6	14200
NE	Cass	6	59,392	7.2	25241
NE	Nemaha	0	45,292	13.2	7248
NE	Rock	0	34,679	16.1	1526
NE	Gage	7	45,169	12.5	22311
NE	Wheeler	0	34,357	19.9	818
NE	Cedar	1	43,923	11.1	8852
NE	Dundy	0	37,071	13.5	2008
NE	Lincoln	49	46,616	12.3	36288
NE	Adams	7	45,149	12.5	31364
NE	Hayes	0	40,125	17.1	967
NE	Harlan	0	45,732	10.9	3423
NE	Franklin	1	39,516	14.3	3225
NE	Richardson	1	37,980	12.7	8363
NE	Antelope	0	40,652	13.7	6685
NE	Fillmore	7	47,551	9	5890
NE	Greeley	1	34,968	13.7	2538
NE	Lancaster	955	50,197	14.8	285407
NE	Cherry	2	38,977	13.7	5713
NE	Douglas	4670	50,270	14.7	517110
NE	Valley	1	38,036	14.2	4260
NE	Garden	0	32,677	15.9	2057
NE	Phelps	0	49,532	10	9188
NE	Thurston	1	36,343	26.1	6940
NE	Logan	0	42,257	12.5	763
NE	Merrick	2	43,244	11.8	7845
NE	Nuckolls	0	36,985	12.4	4500
NE	Knox	2	36,806	14.7	8701
NE	Platte	7	52,031	8.4	32237
NE	Hall	16	46,807	13.1	58607
NE	Scotts Bluff	21	40,088	15.8	36970
NE	Pierce	1	45,521	9.6	7266
NE	Gosper	0	49,286	9.5	2044
NE	Nance	0	41,950	12.7	3735
NE	Nebraska	0	48,415	12.6	1826341
NE	Boone	0	42,265	9.7	5505
NE	Keya Paha	3	31,764	22.6	824
NE	Pawnee	0	34,294	14.1	2773
NE	Perkins	0	45,820	10.6	2970
NE	Garfield	1	34,998	14.6	2049
NE	Thayer	0	41,488	11.5	5228
TN	Wilson	21	56,270	10	113993
TN	Blount	51	41,736	14	123010
TN	Shelby	1931	43,859	20.4	927644
TN	Union	1	32,533	26.4	19109
TN	Smith	4	39,330	20.3	19166
TN	Montgomery	213	47,258	15.7	172331
TN	Wayne	4	32,334	22.1	17021
TN	Robertson	10	51,074	12.7	66283
TN	White	52	33,251	21	25841
TN	Hamblen	78	38,711	20.6	62544
TN	Henderson	70	36,347	17.5	27769
TN	Weakley	2	34,782	21.6	35021
TN	Dickson	8	43,353	14	49666
TN	Bedford	65	39,057	23.5	45058
TN	Obion	1	38,530	16	31807
TN	Humphreys	7	38,300	16.6	18538
TN	Hancock	0	24,891	30.9	6819
TN	Henry	5	36,247	20.3	32330
TN	Trousdale	22	35,824	16.9	7870
TN	Moore	1	45,066	13.6	6362
TN	Sullivan	335	36,337	18	156823
TN	Maury	62	45,445	14.3	80956
TN	Washington	311	41,702	17.8	122979
TN	Bradley	46	38,558	19.1	98963
TN	Marion	1	37,672	21.9	28237
TN	Hickman	1	35,948	19.7	24690
TN	Polk	5	35,083	20	16825
TN	Warren	29	33,265	26.4	39839
TN	Perry	3	31,486	21.4	7915
TN	Jackson	21	31,093	21.7	11638
TN	Anderson	67	45,917	16.2	75129
TN	Jefferson	20	37,279	16.7	51407
TN	Rhea	3	36,308	20.6	31809
TN	Hardin	30	31,883	23.3	26026
TN	Putnam	14	35,225	21.5	72321
TN	Coffee	73	39,321	22.1	52796
TN	Sevier	49	39,349	16.5	89889
TN	Crockett	7	37,945	19.8	14586
TN	Hamilton	355	44,132	15.6	336463
TN	Lauderdale	2	32,741	23.9	27815
TN	Johnson	13	29,219	26.4	18244
TN	Rutherford	588	51,815	14.4	262604
TN	Greene	62	34,649	22.6	68831
TN	Chester	0	39,492	19.1	17131
TN	Overton	2	33,230	19.3	22083
TN	Clay	9	28,014	22.9	7861
TN	McMinn	9	38,183	18.6	52266
TN	Gibson	56	35,711	18.6	49683
TN	Macon	6	33,036	22.7	22248
TN	Madison	175	40,670	19.5	98294
TN	Grainger	7	33,291	20.1	22657
TN	Hawkins	14	37,164	18.8	56833
TN	Meigs	3	36,584	22.1	11753
TN	Davidson	2461	43,825	20	626681
TN	Cheatham	26	51,106	12.2	39105
TN	Bledsoe	2	33,366	22.4	12876
TN	Lawrence	32	34,637	18.2	41869
TN	Fayette	1	53,935	12.8	38413
TN	Claiborne	8	29,227	25.1	32213
TN	Lincoln	1	41,022	17.1	33361
TN	Franklin	13	40,247	14.8	41052
TN	Dyer	17	36,735	20.5	38335
TN	Sumner	124	48,502	13.3	160645
TN	Marshall	31	40,052	14.7	30617
TN	Carroll	25	34,566	20.3	28522
TN	Grundy	1	27,494	30.3	13703
TN	Campbell	4	31,699	24.3	40716
TN	Hardeman	1	31,747	26.6	27253
TN	Sequatchie	0	38,082	22	14112
TN	Cumberland	20	36,214	17.9	56053
TN	McNairy	0	33,139	21.9	26075
TN	Lake	0	27,142	40.4	7832
TN	Roane	12	42,620	15.2	54181
TN	DeKalb	23	35,726	20.8	18723
TN	Loudon	31	47,206	14.3	48556
TN	Haywood	82	34,310	23.6	18787
TN	Williamson	182	82,273	6.4	183182
TN	Cannon	3	36,246	16.7	13801
TN	Van Buren	0	31,455	22.1	5548
TN	Giles	4	35,466	17.5	29485
TN	Knox	2195	44,074	12.9	432226
TN	Decatur	0	35,134	20.4	11757
TN	Tipton	34	47,824	13.6	61081
TN	Benton	1	32,346	19.9	16489
TN	Pickett	24	30,016	20.3	5077
TN	Morgan	2	35,322	20.3	21987
TN	Unicoi	0	35,976	17.3	18313
TN	Stewart	3	40,329	15.3	13324
TN	Houston	51	35,739	19.7	8426
TN	Fentress	4	29,088	24.4	17959
TN	Carter	74	31,145	26	57424
TN	Cocke	4	28,832	31.9	35662
TN	Lewis	7	33,495	20.5	12161
TN	Tennessee	0	41,461	17.8	6346105
TN	Scott	1	29,792	27	22228
TN	Monroe	10	35,833	19.4	44519
NY	Orleans	9	44,783	14	42883
NY	Ontario	62	53,137	10.1	107931
NY	Albany	478	53,783	13.2	304204
NY	Delaware	12	40,252	12.3	47980
NY	Essex	47	42,053	13	39370
NY	Broome	348	43,920	16.5	200600
NY	Montgomery	22	40,035	17.1	50219
NY	Richmond	70	69,163	12.1	468730
NY	St. Lawrence	45	40,008	17.4	111944
NY	Jefferson	58	43,448	14.3	116229
NY	Genesee	27	47,387	12.1	60079
NY	Orange	202	65,512	11.4	372813
NY	Cortland	24	41,903	14.8	49336
NY	Cattaraugus	23	41,266	15	80317
NY	Putnam	21	82,585	6.2	99710
NY	Chautauqua	41	39,981	17.3	134905
NY	Tioga	18	50,043	9.8	51125
NY	Columbia	25	50,620	9.5	63096
NY	Dutchess	191	68,831	8.2	297488
NY	Cayuga	70	48,453	12.6	80026
NY	Otsego	56	42,837	15.7	62259
NY	Rockland	35	79,798	11.6	311687
NY	Herkimer	39	42,876	15.6	64519
NY	Hamilton	5	45,474	10.6	4836
NY	Nassau	358	90,294	6.2	1339532
NY	Westchester	189	76,993	9	949113
NY	Queens	191	52,486	15.1	2230722
NY	Chemung	52	46,130	15.6	88830
NY	Wyoming	5	46,846	10.8	42155
NY	Yates	15	43,820	17	25348
NY	Saratoga	173	65,508	7	219607
NY	Allegany	14	41,384	17.2	48946
NY	Oneida	186	46,409	15.1	234878
NY	Greene	112	45,070	17.2	49221
NY	Livingston	21	50,094	13.5	65393
NY	Rensselaer	47	51,720	13.5	159429
NY	Franklin	27	41,062	16.1	51599
NY	Bronx	25	32,674	30	1385108
NY	Chenango	6	41,418	16	50477
NY	Tompkins	182	50,156	19.6	101564
NY	Fulton	5	39,939	15.6	55531
NY	Seneca	14	45,961	14	35251
NY	Madison	15	50,270	11.5	73442
NY	Clinton	22	44,193	15.7	82128
NY	Ulster	132	51,194	12.5	182493
NY	Sullivan	25	43,882	19.1	77547
NY	Lewis	11	41,093	15	27087
NY	Oswego	75	44,371	16.9	122109
NY	Washington	75	46,629	12	63216
NY	Schuyler	32	46,870	13.1	18343
NY	Suffolk	761	81,235	6.6	1493350
NY	Wayne	16	50,213	10.6	93772
NY	Niagara	83	44,006	14.1	216469
NY	Onondaga	454	50,298	14.1	467026
NY	Steuben	16	45,231	14.4	98990
NY	Kings	1	42,047	22.9	2504700
NY	Erie	1947	46,773	14.3	919040
NY	Schenectady	82	52,062	12	154727
NY	Schoharie	4	47,350	13.3	32749
NY	Monroe	1419	49,564	15.1	744344
NY	Warren	60	50,269	10.4	65707
PA	Lancaster	489	51,784	10.5	519445
PA	Elk	3	42,750	11.7	31946
PA	Perry	3	51,390	10.1	45969
PA	Cumberland	126	56,288	7.4	235406
PA	Susquehanna	7	43,583	12.8	43356
PA	Union	149	44,997	12.7	44947
PA	Washington	105	47,823	10.6	207820
PA	Delaware	82	59,038	10	558979
PA	Philadelphia	3361	34,667	26.4	1526006
PA	Montgomery	286	75,369	5.8	799874
PA	Jefferson	7	37,911	16.3	45200
PA	Forest	7	34,736	20.4	7716
PA	Butler	37	54,363	9.3	183862
PA	Indiana	51	40,538	18.6	88880
PA	Somerset	12	39,542	14.9	77742
PA	Warren	8	41,008	14.1	41815
PA	Dauphin	384	51,670	13.9	268100
PA	Lycoming	92	40,825	17.1	116111
PA	Juniata	3	45,810	11.1	24636
PA	Tioga	9	40,651	15.8	41981
PA	Montour	2	47,518	12.1	18267
PA	Columbia	40	41,898	15.4	67295
PA	Lawrence	51	39,047	16.2	91108
PA	Crawford	45	38,302	19.7	88765
PA	Blair	47	41,095	13.3	127089
PA	Fayette	17	35,442	20.7	136606
PA	Cambria	191	40,494	13.7	143679
PA	York	493	55,960	9.2	434972
PA	Franklin	185	49,541	9.5	149618
PA	Lebanon	182	51,142	11	133568
PA	Carbon	22	45,698	12.2	65249
PA	Bucks	371	70,960	6.4	625249
PA	Venango	32	39,351	15.4	54984
PA	Luzerne	133	41,745	15.9	320918
PA	Pike	26	54,674	9	57369
PA	Mc Kean	0	39,679	14.9	43450
PA	Wyoming	13	46,899	12.7	28276
PA	Adams	70	54,415	9.9	101407
PA	Bedford	8	38,548	13.6	49762
PA	Pennsylvania	0	49,245	13.4	12702379
PA	Northumberland	52	36,503	15	94528
PA	Clarion	80	37,740	19	39988
PA	Greene	33	41,927	18	38686
PA	Westmoreland	145	46,468	10.4	365169
PA	Snyder	4	42,016	13.2	39702
PA	Berks	572	51,631	13.7	411442
PA	Fulton	0	43,947	10.5	14845
PA	Lackawanna	83	42,081	13.6	214437
PA	Erie	672	42,341	17.2	280566
PA	Clinton	5	38,423	16.9	39238
PA	Armstrong	55	42,711	13.7	68941
PA	Sullivan	1	34,026	15.2	6428
PA	Mifflin	9	37,163	16.6	46682
PA	Huntingdon	6	40,947	14.3	45913
PA	Northampton	233	56,369	10.6	297735
PA	Potter	4	40,472	14.8	17457
PA	Bradford	20	43,060	10.9	62622
PA	Centre	217	45,154	18.9	153990
PA	Schuylkill	121	40,384	13	148289
PA	Lehigh	347	51,426	13.2	349497
PA	Wayne	28	43,627	12.4	52822
PA	Cameron	3	36,278	14.4	5085
PA	Beaver	110	44,020	15.1	170539
PA	Allegheny	2346	47,490	11.9	1223348
PA	Clearfield	112	37,025	16.8	81642
PA	Mercer	77	40,244	16.6	116638
PA	Monroe	60	54,111	13	169842
PA	Chester	518	83,829	6.4	498886
CA	Fresno	3586	44,869	26.8	930450
CA	Santa Clara	15215	84,627	10.6	1781642
CA	Lake	71	35,914	21	64665
CA	Imperial	101	39,261	22.3	174528
CA	Sierra	3	42,800	13.4	3240
CA	Madera	51	43,596	21.7	150865
CA	Plumas	86	41,421	15.3	20007
CA	Tuolumne	573	44,751	15.2	55365
CA	Napa	393	62,893	10.7	136484
CA	San Francisco	12090	70,883	12.8	805235
CA	Orange	6414	70,727	12.2	3010232
CA	Tulare	643	42,377	24.6	442179
CA	Riverside	5546	53,981	16.4	2189641
CA	Alameda	3924	66,937	13.5	1510271
CA	San Mateo	323	82,413	7	718451
CA	Trinity	16	35,207	18.4	13786
CA	Solano	607	62,948	12.2	413344
CA	Sacramento	13178	52,655	16.7	1418788
CA	San Diego	39598	59,759	14.8	3095313
CA	Colusa	6	44,981	14.9	21419
CA	Marin	276	82,383	9.2	252409
CA	Santa Cruz	669	60,247	14.2	262382
CA	Amador	5	49,516	12.8	38091
CA	Los Angeles	49893	52,595	17.6	9818605
CA	Modoc	89	34,579	21.9	9686
CA	Lassen	58	50,093	16.8	34895
CA	Butte	537	41,168	20.1	220000
CA	Stanislaus	4501	47,442	19.7	514453
CA	Alpine	5	44,241	16.9	1175
CA	Shasta	1034	41,058	18.2	177223
CA	Siskiyou	55	36,001	21.5	44900
CA	Placer	681	68,330	9.1	348432
CA	Mono	22	52,768	10.8	14202
CA	Contra Costa	1789	73,678	9.3	1049025
CA	Del Norte	31	35,438	23.5	28610
CA	Sutter	68	46,188	16.8	94737
CA	Kern	1835	45,045	21.4	839631
CA	Ventura	3231	71,418	11	823318
CA	California	0	57,664	15.8	37253956
CA	Calaveras	37	50,745	11.1	45578
CA	Inyo	62	44,507	13.9	18546
CA	San Bernardino	3208	52,270	18.1	2035210
CA	Monterey	435	53,735	17.1	415057
CA	Sonoma	1929	58,703	12.8	483878
CA	San Joaquin	642	49,742	19	685306
CA	Humboldt	2845	38,254	18	134623
CA	Glenn	108	40,859	17.6	28122
CA	Merced	144	41,730	23.1	255793
CA	Yolo	973	54,433	16.4	200849
CA	Mariposa	1254	42,222	14.8	18251
CA	Yuba	45	41,045	20.7	72155
CA	El Dorado	316	65,201	9.4	181058
CA	San Luis Obispo	347	53,620	14.3	269637
CA	Mendocino	170	40,339	19.6	87841
CA	San Benito	85	58,194	12.7	55269
CA	Tehama	65	38,188	20.4	63463
CA	Kings	71	44,020	22.5	152982
CA	Nevada	358	54,154	11.7	98764
CA	Santa Barbara	1701	56,243	17.7	423895
NV	Carson City	0	49,386	15.1	55274
NV	White Pine	9	49,376	12.6	10030
NV	Lyon	13	47,108	11.4	51980
NV	Churchill	15	48,235	11.6	24877
NV	Lander	0	70,176	10	5775
NV	Humboldt	22	59,960	9.9	16528
NV	Clark	39640	51,427	15	1951269
NV	Pershing	2	44,684	18.5	6753
NV	Esmeralda	0	40,929	14.4	783
NV	Elko	109	66,210	8.3	48818
NV	Douglas	20	57,176	9.3	46997
NV	Washoe	2903	50,839	15.3	421407
NV	Mineral	1	39,940	15.4	4772
NV	Storey	1	57,763	8.7	4010
NV	Eureka	6	58,391	10.1	1987
NV	Nevada	0	50,987	14.8	2700551
NV	Lincoln	47	42,637	13.4	5345
NV	Nye	154	41,054	18.7	43946
VA	Roanoke	17	57,720	7	92376
VA	Powhatan	11	70,025	7.1	28046
VA	Russell	13	34,460	18.1	28897
VA	Arlington	154	93,231	7.2	207627
VA	Chesapeake city	0	67,674	8	222209
VA	Montgomery	31	42,827	20.5	94392
VA	Fauquier	91	83,176	7.5	65203
VA	Brunswick	0	36,806	20.5	17434
VA	Virginia Beach city	0	63,354	8	437994
VA	Covington city	0	33,962	15.9	5961
VA	Tazewell	7	35,485	18.5	45078
VA	King George	10	77,200	6.9	23584
VA	York	76	77,070	5.3	65464
VA	Bedford	16	51,656	9.8	68676
VA	Radford city	0	34,009	25.6	16408
VA	Augusta	7	50,534	9.5	73750
VA	Nelson	8	47,368	13.1	15020
VA	Henry	1	32,669	17.7	54151
VA	Chesterfield	82	69,190	6.9	316236
VA	Nottoway	4	36,975	20.8	15853
VA	Gloucester	7	58,893	9.9	36858
VA	Charlotte	1	33,899	18.6	12586
VA	Buchanan	0	29,712	24.8	24098
VA	Washington	45	39,690	14.1	54876
VA	Portsmouth city	0	42,740	18.3	95535
VA	Colonial Heights city	0	48,883	9.4	17411
VA	Prince George	12	59,346	9.7	35725
VA	Floyd	1	44,188	13.6	15279
VA	Warren	37	55,758	10.3	37575
VA	Buena Vista city	0	37,629	15.5	6650
VA	Albemarle	70	61,845	9.1	98970
VA	Orange	7	53,837	10.7	33481
VA	Caroline	3	52,779	11.2	28545
VA	Smyth	24	35,437	18.7	32208
VA	Culpeper	27	56,897	10.5	46689
VA	Fredericksburg city	0	43,460	19.8	24286
VA	Lee	2	31,116	25.5	25587
VA	Rockbridge	277	44,502	12.2	22307
VA	Sussex	0	37,019	22.5	12087
VA	Spotsylvania	34	72,463	7.9	122397
VA	Emporia city	0	33,255	22.8	5927
VA	Buckingham	0	37,568	20.5	17146
VA	Southampton	1	43,232	16.4	18570
VA	Henrico	20	59,128	9.8	306935
VA	Martinsville city	0	29,887	24	13821
VA	Northumberland	9	46,320	14.4	12330
VA	Newport News city	0	49,228	15.1	180719
VA	Greene	2	57,592	9.7	18403
VA	Westmoreland	55	45,291	14.7	17454
VA	Isle of Wight	5	62,224	8.8	35270
VA	Lexington city	0	41,298	21.4	7042
VA	King and Queen	2	44,277	12.8	6945
VA	Staunton city	0	40,855	15.2	23746
VA	Madison	4	49,389	11.7	13308
VA	Goochland	5	81,938	7.7	21717
VA	Loudoun	141	119,075	3.7	312311
VA	Northampton	367	35,308	18.7	12389
VA	Essex	1	43,125	14.1	11151
VA	Amherst	35	42,063	13.6	32353
VA	Rappahannock	0	57,499	9.8	7373
VA	Bedford city	0	35,664	17.4	6222
VA	Bland	0	39,975	15	6824
VA	Charles City	0	45,916	11.9	7256
VA	Prince William	184	91,290	6.1	402002
VA	Hampton city	0	50,923	13.1	137436
VA	Clarke	5	67,962	8.3	14034
VA	Petersburg city	0	32,435	25.2	32420
VA	Richmond	1	40,596	18.5	9254
VA	Norton city	0	33,662	19.5	3958
VA	Wythe	3	37,624	15.8	29235
VA	Appomattox	0	44,479	14.1	14973
VA	Roanoke city	0	37,486	22.4	97032
VA	Accomack	7	37,312	20.5	33164
VA	New Kent	2	67,979	5.8	18429
VA	Dinwiddie	0	50,535	11.9	28001
VA	Shenandoah	17	46,016	11.7	41993
VA	Pittsylvania	48	41,031	15.9	63506
VA	Lunenburg	0	35,260	20.5	12914
VA	Poquoson city	0	79,229	5.4	12150
VA	Patrick	4	33,678	18.7	18490
VA	Grayson	0	31,930	17.1	15533
VA	Greensville	1	38,702	23.9	12243
VA	Franklin	10	40,931	14.4	56159
VA	Manassas Park city	0	67,948	8.6	14273
VA	Highland	0	35,793	14.4	2321
VA	Fairfax	258	102,726	5.9	1081726
VA	Galax city	0	32,061	22.3	7042
VA	Richmond city	0	39,214	25.3	204214
VA	Franklin city	0	36,454	21.6	8582
VA	Charlottesville city	0	42,686	20.2	43475
VA	Craig	1	44,882	11.6	5190
VA	Carroll	17	34,796	17.6	30042
VA	Bath	1	41,266	11.2	4731
VA	Norfolk city	0	41,015	19	242803
VA	Botetourt	5	63,528	6.5	33148
VA	Campbell	13	42,158	14.3	54842
VA	King William	2	64,205	7.7	15935
VA	Halifax	3	35,879	19.3	36241
VA	Lancaster	2	44,296	13.9	11391
VA	Salem city	0	46,636	9.7	24802
VA	Louisa	44	50,101	9.9	33153
VA	Middlesex	5	45,686	13.6	10959
VA	Cumberland	0	39,394	17.2	10052
VA	Harrisonburg city	0	37,179	30.1	48914
VA	Hopewell city	0	37,226	17.3	22591
VA	Alexandria city	0	78,023	9.3	139966
VA	Pulaski	5	41,184	15.8	34872
VA	Rockingham	24	49,158	10.8	76314
VA	Manassas city	0	64,274	11.7	37821
