Name,Postal,Median Household Income,Poverty Percent All Ages,State FIPS,County FIPS,90% CI Lower Bound,90% CI Upper Bound,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,90% CI Lower Bound,90% CI Upper Bound
Denali Borough,AK,"61,004",5.6,02,068,77,127,4.2,7.0,28,20,36,6.7,4.8,8.6,16,11,21,5.4,3.6,7.2,"55,062","66,946"
Dillingham Census Area,AK,"46,845",20.6,02,070,761,"1,229",15.8,25.4,458,334,582,29.5,21.5,37.5,280,191,369,25.6,17.5,33.7,"42,826","50,864"
Fairbanks North Star Borough,AK,"60,472",9.4,02,090,"6,935","10,673",7.4,11.4,"3,087","2,300","3,874",12.5,9.3,15.7,"1,839","1,287","2,391",11.1,7.8,14.4,"57,410","63,534"
Haines Borough,AK,"46,111",12.1,02,100,231,377,9.2,15.0,97,71,123,19.5,14.2,24.8,60,41,79,16.8,11.5,22.1,"41,701","50,521"
Hoonah-Angoon Census Area,AK,"38,122",19.4,02,105,320,512,14.9,23.9,107,77,137,26.4,19.1,33.7,66,45,87,23.4,16.1,30.7,"34,441","41,803"
Juneau Borough,AK,"69,844",8.2,02,110,"2,000","3,048",6.5,9.9,723,536,910,10.0,7.4,12.6,399,278,520,7.7,5.4,10.0,"64,720","74,968"
Kenai Peninsula Borough,AK,"57,347",10.7,02,122,"4,619","6,977",8.5,12.9,"1,847","1,374","2,320",14.4,10.7,18.1,"1,122",797,"1,447",12.0,8.5,15.5,"53,030","61,664"
Ketchikan Gateway Borough,AK,"58,073",10.0,02,130,"1,022","1,648",7.6,12.4,459,335,583,14.8,10.8,18.8,266,183,349,12.2,8.4,16.0,"53,033","63,113"
Kodiak Island Borough,AK,"59,847",8.3,02,150,860,"1,372",6.4,10.2,382,279,485,10.3,7.5,13.1,216,148,284,8.3,5.7,10.9,"54,597","65,097"
Lake and Peninsula Borough,AK,"39,794",17.7,02,164,219,355,13.5,21.9,117,85,149,25.3,18.4,32.2,72,49,95,21.8,14.9,28.7,"36,052","43,536"
Matanuska-Susitna Borough,AK,"68,670",10.9,02,170,"7,928","11,308",9.0,12.8,"3,565","2,806","4,324",14.1,11.1,17.1,"2,088","1,558","2,618",11.4,8.5,14.3,"64,634","72,706"
Nome Census Area,AK,"43,147",24.6,02,180,"1,868","2,722",20.0,29.2,989,761,"1,217",30.7,23.6,37.8,570,406,734,25.8,18.4,33.2,"39,271","47,023"
North Slope Borough,AK,"68,744",11.4,02,185,816,"1,332",8.7,14.1,294,219,369,13.2,9.8,16.6,164,115,213,11.0,7.7,14.3,"62,089","75,399"
Northwest Arctic Borough,AK,"49,466",20.0,02,188,"1,177","1,811",15.8,24.2,572,427,717,21.9,16.3,27.5,327,226,428,18.7,12.9,24.5,"44,764","54,168"
Petersburg Census Area,AK,"52,294",10.6,02,195,304,508,7.9,13.3,135,98,172,15.6,11.3,19.9,79,54,104,12.3,8.5,16.1,"47,322","57,266"
Prince of Wales-Hyder Census Area,AK,"40,756",17.2,02,198,743,"1,171",13.3,21.1,334,246,422,23.9,17.6,30.2,196,136,256,20.1,13.9,26.3,"37,107","44,405"
Sitka Borough,AK,"58,000",9.1,02,220,611,989,6.9,11.3,244,180,308,11.8,8.7,14.9,137,95,179,9.7,6.7,12.7,"52,447","63,553"
Skagway Municipality,AK,"58,550",4.2,02,230,30,50,3.2,5.2,11,8,14,6.8,4.9,8.7,7,5,9,6.1,4.2,8.0,"52,823","64,277"
Southeast Fairbanks Census Area,AK,"54,508",13.4,02,240,694,"1,182",9.9,16.9,393,286,500,21.7,15.8,27.6,233,160,306,17.4,11.9,22.9,"49,243","59,773"
Valdez-Cordova Census Area,AK,"60,297",9.0,02,261,646,"1,070",6.8,11.2,262,190,334,11.2,8.1,14.3,158,108,208,9.3,6.4,12.2,"54,586","66,008"
Wade Hampton Census Area,AK,"30,883",34.1,02,270,"2,011","3,049",27.1,41.1,"1,403","1,075","1,731",46.0,35.2,56.8,853,619,"1,087",39.5,28.7,50.3,"28,181","33,585"
Wrangell City and Borough,AK,"42,752",13.1,02,275,230,384,9.8,16.4,102,74,130,19.8,14.4,25.2,61,42,80,15.9,10.9,20.9,"38,911","46,593"
Yakutat Borough,AK,"49,331",14.7,02,282,73,121,11.1,18.3,40,29,51,22.6,16.3,28.9,25,17,33,20.3,13.8,26.8,"44,562","54,100"
Yukon-Koyukuk Census Area,AK,"35,177",27.1,02,290,"1,221","1,803",21.9,32.3,541,409,673,34.9,26.4,43.4,320,229,411,29.1,20.8,37.4,"32,501","37,853"
Arizona,AZ,"46,787",17.6,04,000,"1,082,284","1,127,866",17.2,18.0,"401,664","387,835","415,493",25.0,24.1,25.9,"263,822","251,690","275,954",23.0,21.9,24.1,"46,278","47,296"
Apache County,AZ,"30,651",34.5,04,001,"21,102","27,686",29.8,39.2,"9,358","7,803","10,913",41.8,34.9,48.7,"5,966","4,799","7,133",36.4,29.3,43.5,"28,209","33,093"
Cochise County,AZ,"43,677",17.7,04,003,"18,347","26,051",14.6,20.8,"8,010","6,293","9,727",26.9,21.1,32.7,"5,234","4,056","6,412",24.7,19.1,30.3,"40,744","46,610"
Coconino County,AZ,"43,051",23.8,04,005,"26,694","33,548",21.1,26.5,"8,820","7,279","10,361",28.1,23.2,33.0,"5,850","4,794","6,906",26.2,21.5,30.9,"40,660","45,442"
Gila County,AZ,"37,430",19.8,04,007,"8,193","12,613",15.6,24.0,"3,756","2,898","4,614",33.6,25.9,41.3,"2,454","1,876","3,032",30.3,23.2,37.4,"34,253","40,607"
Graham County,AZ,"39,299",21.6,04,009,"5,613","8,757",16.9,26.3,"2,716","2,093","3,339",26.3,20.3,32.3,"1,851","1,414","2,288",26.0,19.9,32.1,"35,702","42,896"
Greenlee County,AZ,"49,592",12.7,04,011,813,"1,291",9.8,15.6,399,302,496,16.7,12.7,20.7,259,195,323,15.0,11.3,18.7,"46,357","52,827"
La Paz County,AZ,"33,818",23.7,04,012,"3,716","5,822",18.5,28.9,"1,377","1,059","1,695",38.1,29.3,46.9,918,698,"1,138",35.8,27.2,44.4,"30,992","36,644"
Maricopa County,AZ,"50,424",16.6,04,013,"603,538","646,642",16.0,17.2,"233,478","221,652","245,304",23.5,22.3,24.7,"152,489","143,567","161,411",21.5,20.2,22.8,"49,954","50,894"
Mohave County,AZ,"36,446",18.7,04,015,"31,556","42,106",16.0,21.4,"13,569","11,193","15,945",33.8,27.9,39.7,"8,944","7,259","10,629",30.7,24.9,36.5,"35,000","37,892"
Navajo County,AZ,"37,723",27.8,04,017,"25,646","32,936",24.3,31.3,"11,456","9,565","13,347",36.4,30.4,42.4,"7,542","6,133","8,951",33.3,27.1,39.5,"35,122","40,324"
Pima County,AZ,"44,293",17.8,04,019,"159,844","181,768",16.7,18.9,"55,472","49,929","61,015",25.1,22.6,27.6,"36,117","32,012","40,222",22.8,20.2,25.4,"42,809","45,777"
Pinal County,AZ,"49,833",14.4,04,021,"43,987","59,013",12.3,16.5,"18,384","14,907","21,861",18.4,14.9,21.9,"12,334","9,830","14,838",17.9,14.3,21.5,"47,734","51,932"
Santa Cruz County,AZ,"33,952",28.0,04,023,"11,321","15,173",23.9,32.1,"6,294","5,337","7,251",43.5,36.9,50.1,"4,176","3,468","4,884",38.8,32.2,45.4,"31,087","36,817"
Yavapai County,AZ,"40,562",18.3,04,025,"33,265","42,685",16.0,20.6,"11,029","9,123","12,935",28.0,23.2,32.8,"7,123","5,723","8,523",24.7,19.9,29.5,"38,726","42,398"
Yuma County,AZ,"40,609",21.1,04,027,"34,513","45,907",18.1,24.1,"17,545","14,386","20,704",32.0,26.2,37.8,"12,565","10,363","14,767",31.6,26.1,37.1,"38,416","42,802"
Arkansas,AR,"38,413",18.7,05,000,"518,451","540,969",18.3,19.1,"190,538","184,070","197,006",27.3,26.4,28.2,"124,638","118,946","130,330",24.9,23.8,26.0,"37,806","39,020"
Arkansas County,AR,"38,129",18.6,05,001,"2,733","4,221",14.6,22.6,"1,225",923,"1,527",28.3,21.3,35.3,789,588,990,24.8,18.5,31.1,"34,614","41,644"
Ashley County,AR,"37,042",19.4,05,003,"3,268","5,132",15.1,23.7,"1,667","1,272","2,062",31.8,24.3,39.3,"1,135",854,"1,416",29.9,22.5,37.3,"33,865","40,219"
Baxter County,AR,"34,421",15.7,05,005,"5,179","7,659",12.7,18.7,"1,999","1,522","2,476",27.2,20.7,33.7,"1,388","1,062","1,714",26.0,19.9,32.1,"32,021","36,821"
Benton County,AR,"52,417",10.2,05,007,"18,681","26,207",8.5,11.9,"8,543","6,601","10,485",13.9,10.7,17.1,"5,795","4,426","7,164",13.3,10.1,16.5,"50,263","54,571"
Boone County,AR,"35,532",16.0,05,009,"4,572","7,066",12.6,19.4,"2,214","1,691","2,737",26.3,20.1,32.5,"1,465","1,113","1,817",23.7,18.0,29.4,"32,850","38,214"
Bradley County,AR,"31,047",28.5,05,011,"2,659","3,799",23.5,33.5,"1,149",929,"1,369",43.4,35.1,51.7,721,565,877,38.6,30.2,47.0,"28,104","33,990"
Calhoun County,AR,"36,955",15.6,05,013,606,"1,002",11.8,19.4,244,182,306,22.6,16.9,28.3,167,125,209,20.3,15.1,25.5,"33,591","40,319"
Carroll County,AR,"33,789",16.4,05,015,"3,506","5,432",12.9,19.9,"1,613","1,197","2,029",26.5,19.7,33.3,"1,135",847,"1,423",25.4,19.0,31.8,"30,998","36,580"
Chicot County,AR,"27,321",30.7,05,017,"2,639","4,153",23.9,37.5,"1,175",895,"1,455",44.1,33.6,54.6,764,571,957,41.0,30.7,51.3,"24,708","29,934"
Clark County,AR,"33,433",22.2,05,019,"3,584","5,446",17.6,26.8,"1,247",949,"1,545",28.4,21.6,35.2,830,625,"1,035",26.3,19.8,32.8,"30,555","36,311"
Clay County,AR,"31,976",18.3,05,021,"2,262","3,548",14.3,22.3,"1,004",748,"1,260",28.6,21.3,35.9,649,476,822,24.9,18.3,31.5,"29,364","34,588"
Cleburne County,AR,"35,472",18.6,05,023,"3,901","5,601",15.3,21.9,"1,473","1,167","1,779",29.1,23.1,35.1,"1,041",833,"1,249",28.1,22.5,33.7,"32,565","38,379"
Cleveland County,AR,"40,402",15.5,05,025,"1,029","1,639",12.0,19.0,483,363,603,22.7,17.0,28.4,318,238,398,20.6,15.4,25.8,"36,654","44,150"
Columbia County,AR,"34,538",25.6,05,027,"4,897","6,995",21.1,30.1,"1,929","1,538","2,320",35.5,28.3,42.7,"1,261",993,"1,529",31.9,25.1,38.7,"31,240","37,836"
Conway County,AR,"37,475",18.2,05,029,"2,962","4,654",14.2,22.2,"1,321","1,004","1,638",26.4,20.1,32.7,864,651,"1,077",24.0,18.1,29.9,"34,102","40,848"
Craighead County,AR,"37,780",21.1,05,031,"16,934","22,300",18.2,24.0,"6,492","5,291","7,693",27.3,22.3,32.3,"4,110","3,243","4,977",24.6,19.4,29.8,"35,311","40,249"
Crawford County,AR,"39,672",15.8,05,033,"7,698","11,726",12.5,19.1,"3,889","3,013","4,765",24.2,18.7,29.7,"2,630","2,030","3,230",22.3,17.2,27.4,"36,553","42,791"
Crittenden County,AR,"33,938",30.3,05,035,"13,367","17,067",26.6,34.0,"6,722","5,907","7,537",45.9,40.3,51.5,"4,403","3,804","5,002",41.6,35.9,47.3,"31,369","36,507"
Cross County,AR,"35,080",19.6,05,037,"2,684","4,202",15.3,23.9,"1,292",983,"1,601",29.5,22.4,36.6,869,652,"1,086",26.5,19.9,33.1,"31,773","38,387"
Dallas County,AR,"31,350",19.4,05,039,"1,111","1,861",14.5,24.3,572,425,719,33.5,24.9,42.1,386,286,486,31.0,23.0,39.0,"28,437","34,263"
Desha County,AR,"29,586",28.0,05,041,"2,860","4,362",22.2,33.8,"1,392","1,077","1,707",41.7,32.2,51.2,951,737,"1,165",40.3,31.2,49.4,"26,737","32,435"
Drew County,AR,"34,952",20.9,05,043,"2,897","4,499",16.4,25.4,"1,261",945,"1,577",30.0,22.5,37.5,864,652,"1,076",28.3,21.4,35.2,"31,874","38,030"
Faulkner County,AR,"46,199",14.8,05,045,"13,901","18,469",12.7,16.9,"4,761","3,734","5,788",17.4,13.7,21.1,"3,022","2,302","3,742",15.5,11.8,19.2,"42,581","49,817"
